mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.324,0.718,2.161,0.38,0.688,0.239,3.468,8.278,0.0
8.68,0.722,2.077,0.36,0.671,0.236,3.345,8.249,0.0
8.18,0.735,2.15,0.361,0.671,0.246,3.429,8.546,0.0
8.279,0.731,2.174,0.37,0.653,0.249,3.445,8.428,0.0
8.97,0.73,2.07,0.36,0.649,0.252,3.332,8.027,0.0
8.185,0.729,2.206,0.365,0.656,0.246,3.473,8.184,0.0
8.376,0.729,2.093,0.374,0.666,0.262,3.395,8.101,0.0
8.56,0.738,1.997,0.364,0.651,0.242,3.254,7.898,0.0
8.401,0.725,2.075,0.36,0.665,0.237,3.336,8.007,0.0
8.131,0.745,2.182,0.375,0.646,0.239,3.443,8.028,0.0
8.588,0.735,1.998,0.372,0.656,0.238,3.264,7.903,0.0
8.495,0.731,1.915,0.354,0.658,0.248,3.175,7.896,0.0
8.411,0.732,2.13,0.366,0.673,0.248,3.417,8.082,0.0
8.478,0.738,2.117,0.371,0.646,0.243,3.377,7.914,0.0
8.57,0.738,2.105,0.344,0.665,0.242,3.356,7.933,0.0
8.265,0.732,2.122,0.374,0.658,0.25,3.404,7.971,0.0
8.5,0.741,2.037,0.38,0.636,0.237,3.291,7.954,0.0
8.435,0.736,2.047,0.343,0.657,0.238,3.285,7.901,0.0
8.157,0.745,2.086,0.369,0.633,0.25,3.338,7.976,0.0
8.371,0.742,2.051,0.374,0.638,0.241,3.304,7.977,0.0
8.683,0.734,2.11,0.345,0.641,0.246,3.341,7.917,0.0
8.264,0.731,2.006,0.372,0.651,0.242,3.271,7.987,0.0
8.26,0.74,2.054,0.363,0.651,0.244,3.313,7.974,0.0
8.815,0.736,1.999,0.351,0.655,0.25,3.256,8.176,0.0
8.475,0.744,2.022,0.365,0.635,0.248,3.269,8.257,0.0
8.338,0.74,2.04,0.367,0.631,0.239,3.277,8.07,0.0
8.776,0.742,2.007,0.356,0.638,0.243,3.244,7.911,0.0
8.636,0.744,2.03,0.344,0.649,0.254,3.277,8.016,0.0
8.335,0.739,1.992,0.371,0.635,0.235,3.233,8.057,0.0
8.76,0.752,1.988,0.363,0.611,0.242,3.203,8.045,0.0
8.523,0.741,2.002,0.345,0.652,0.254,3.254,8.031,0.0
8.296,0.753,2.109,0.36,0.61,0.241,3.319,8.041,0.0
8.784,0.739,2.001,0.366,0.636,0.244,3.247,7.895,0.0
8.467,0.738,1.998,0.35,0.643,0.245,3.235,7.975,0.0
8.331,0.734,2.152,0.361,0.66,0.241,3.414,8.059,0.0
8.659,0.741,1.882,0.35,0.638,0.244,3.114,7.955,0.0
8.601,0.74,1.971,0.342,0.623,0.243,3.18,8.055,0.0
8.481,0.752,2.057,0.365,0.622,0.236,3.28,8.09,0.0
8.706,0.741,1.924,0.359,0.644,0.238,3.165,7.935,0.0
8.649,0.746,1.945,0.346,0.633,0.242,3.166,7.962,0.0
8.376,0.744,2.163,0.352,0.629,0.233,3.377,8.029,0.0
8.639,0.749,1.949,0.365,0.628,0.243,3.184,7.953,0.0
8.498,0.738,2.009,0.334,0.629,0.241,3.213,7.919,0.0
8.253,0.748,1.913,0.363,0.63,0.243,3.15,7.99,0.0
8.617,0.742,2.027,0.36,0.633,0.239,3.26,8.004,0.0
8.785,0.745,2.051,0.34,0.616,0.236,3.243,7.946,0.0
8.381,0.74,1.949,0.356,0.634,0.237,3.175,8.037,0.0
8.576,0.754,1.963,0.363,0.61,0.235,3.17,8.022,0.0
8.948,0.757,1.946,0.337,0.612,0.249,3.145,7.903,0.0
8.567,0.752,2.063,0.36,0.61,0.242,3.276,8.022,0.0
8.424,0.743,1.876,0.365,0.624,0.237,3.103,8.019,0.0
8.877,0.739,1.995,0.336,0.622,0.23,3.182,8.013,0.0
8.528,0.742,1.969,0.35,0.624,0.245,3.188,8.05,0.0
8.436,0.76,1.945,0.358,0.602,0.228,3.134,8.024,0.0
9.034,0.758,1.916,0.335,0.61,0.236,3.097,7.931,0.0
8.53,0.752,2.019,0.339,0.612,0.243,3.212,8.095,0.0
8.59,0.75,2.018,0.36,0.604,0.245,3.225,8.044,0.0
8.803,0.753,1.956,0.348,0.606,0.238,3.148,7.88,0.0
8.626,0.756,1.95,0.342,0.614,0.248,3.154,8.012,0.0
8.801,0.738,2.005,0.355,0.632,0.245,3.236,8.053,0.0
8.917,0.762,1.936,0.346,0.599,0.232,3.112,7.91,0.0
8.445,0.759,1.912,0.331,0.618,0.245,3.106,7.982,0.0
8.363,0.746,2.037,0.357,0.633,0.242,3.27,8.07,0.0
8.888,0.75,1.997,0.347,0.601,0.242,3.187,7.897,0.0
8.789,0.75,2.026,0.329,0.621,0.232,3.208,7.954,0.0
8.434,0.753,2.098,0.346,0.6,0.24,3.284,8.083,0.0
8.806,0.764,1.932,0.358,0.593,0.239,3.121,7.934,0.0
8.786,0.757,1.854,0.331,0.597,0.236,3.018,7.94,0.0
8.499,0.743,1.985,0.353,0.616,0.242,3.195,8.128,0.0
8.776,0.742,1.803,0.347,0.603,0.232,2.985,7.988,0.0
8.789,0.754,1.923,0.325,0.591,0.239,3.077,8.005,0.0
8.664,0.746,2.027,0.35,0.635,0.243,3.256,8.071,0.0
8.682,0.746,1.935,0.347,0.618,0.233,3.133,7.992,0.0
8.696,0.748,1.842,0.336,0.593,0.236,3.007,7.943,0.0
8.389,0.758,1.912,0.35,0.605,0.242,3.108,8.012,0.0
8.603,0.756,1.884,0.349,0.602,0.237,3.072,8.021,0.0
8.976,0.758,1.987,0.324,0.602,0.244,3.158,7.951,0.0
8.496,0.766,1.905,0.35,0.588,0.243,3.087,7.983,0.0
8.721,0.753,1.911,0.348,0.59,0.238,3.087,8.013,0.0
9.016,0.752,1.934,0.332,0.599,0.237,3.101,8.011,0.0
8.449,0.745,1.837,0.345,0.594,0.231,3.007,8.055,0.0
8.408,0.76,1.898,0.346,0.594,0.226,3.064,8.062,0.0
9.011,0.748,1.882,0.334,0.597,0.233,3.047,7.928,0.0
8.933,0.754,1.905,0.336,0.598,0.23,3.069,8.041,0.0
8.605,0.756,1.778,0.349,0.589,0.237,2.953,8.032,0.0
8.946,0.778,1.912,0.323,0.546,0.233,3.014,7.965,0.0
8.754,0.761,1.919,0.328,0.597,0.239,3.083,8.009,0.0
8.621,0.752,1.91,0.353,0.592,0.235,3.092,8.075,0.0
8.959,0.76,1.91,0.329,0.584,0.235,3.058,7.908,0.0
8.856,0.768,1.892,0.331,0.566,0.235,3.023,8.036,0.0
8.695,0.772,1.885,0.35,0.569,0.233,3.036,8.043,0.0
9.087,0.777,1.747,0.339,0.553,0.239,2.879,7.906,0.0
8.607,0.764,1.933,0.332,0.583,0.231,3.079,8.089,0.0
8.429,0.759,2.043,0.344,0.602,0.237,3.227,8.051,0.0
8.728,0.759,1.835,0.337,0.57,0.236,2.978,7.967,0.0
8.892,0.769,2.002,0.333,0.567,0.229,3.132,7.967,0.0
8.622,0.75,2.035,0.35,0.592,0.238,3.215,8.084,0.0
8.839,0.769,1.836,0.351,0.569,0.234,2.99,7.943,0.0
8.697,0.759,1.888,0.323,0.581,0.241,3.033,7.986,0.0
8.517,0.756,1.834,0.334,0.592,0.238,2.998,8.122,0.0
8.772,0.769,1.885,0.348,0.557,0.222,3.013,8.02,0.0
8.953,0.764,1.91,0.33,0.563,0.226,3.029,7.988,0.0
8.707,0.768,1.934,0.343,0.568,0.247,3.092,7.992,0.0
8.933,0.77,1.776,0.343,0.557,0.229,2.905,7.977,0.0
9.048,0.751,1.806,0.312,0.589,0.233,2.94,7.939,0.0
8.584,0.758,1.923,0.339,0.589,0.233,3.084,8.008,0.0
8.994,0.758,1.863,0.336,0.57,0.231,3.0,7.988,0.0
8.952,0.755,1.927,0.33,0.583,0.239,3.079,7.915,0.0
8.796,0.768,1.838,0.344,0.566,0.234,2.982,8.024,0.0
8.733,0.76,1.868,0.347,0.575,0.236,3.027,7.994,0.0
9.388,0.769,1.822,0.314,0.571,0.234,2.942,7.922,0.0
8.913,0.764,1.836,0.336,0.571,0.244,2.986,8.009,0.0
8.653,0.767,1.813,0.34,0.561,0.233,2.947,8.037,0.0
9.036,0.769,1.755,0.323,0.56,0.225,2.864,7.928,0.0
8.851,0.762,1.826,0.317,0.57,0.235,2.949,8.081,0.0
8.875,0.773,1.835,0.342,0.543,0.239,2.959,8.024,0.0
9.012,0.765,1.783,0.327,0.585,0.224,2.919,7.868,0.0
8.725,0.766,1.847,0.318,0.562,0.222,2.948,8.017,0.0
8.706,0.765,1.843,0.34,0.564,0.233,2.98,8.142,0.0
9.272,0.775,1.797,0.324,0.543,0.227,2.891,7.882,0.0
8.656,0.764,1.748,0.316,0.569,0.24,2.873,7.985,0.0
8.885,0.754,1.925,0.336,0.583,0.235,3.079,8.078,0.0
9.144,0.77,1.739,0.329,0.559,0.228,2.855,7.897,0.0
8.899,0.768,1.79,0.318,0.572,0.235,2.915,8.034,0.0
8.807,0.768,1.94,0.33,0.573,0.234,3.077,8.074,0.0
9.031,0.764,1.867,0.334,0.56,0.228,2.989,7.959,0.0
8.533,0.762,1.838,0.315,0.563,0.229,2.945,7.941,0.0
8.723,0.764,1.932,0.34,0.555,0.228,3.055,8.022,0.0
9.004,0.762,1.711,0.341,0.558,0.228,2.838,7.956,0.0
9.104,0.773,1.809,0.307,0.539,0.234,2.888,8.004,0.0
